Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-06-03;12:29:21;30,00;"SIN PLOMO 95";22,642;2;2026086400
2026-06-03;12:29:37;30,00;"GASOLEO A";19,493;4;2026086401
2026-06-03;12:30:05;10,00;"SIN PLOMO 95";7,547;1;2026086402
2026-06-03;12:32:26;30,00;"GASOLEO A";19,493;2;2026086404
2026-06-03;12:33:43;20,00;"GASOLEO A";12,995;4;2026086405
2026-06-03;12:41:44;79,21;"GASOLEO A";51,468;2;2026086406
2026-06-03;12:42:12;20,00;"GASOLEO A";12,995;1;2026086407
2026-06-03;12:43:03;59,02;"SIN PLOMO 95";44,543;4;2026086408
2026-06-03;12:44:54;30,00;"GASOLEO A";19,493;2;2026086409
2026-06-03;12:45:35;10,00;"GASOLEO A";6,498;1;2026086410
2026-06-03;12:52:25;50,00;"SIN PLOMO 95";37,736;2;2026086411
2026-06-03;12:52:49;10,00;"SIN PLOMO 95";7,547;3;2026086412
2026-06-03;12:59:00;48,07;"SIN PLOMO 95";36,279;1;2026086413
2026-06-03;12:59:54;40,00;"GASOLEO A";25,991;2;2026086415
2026-06-03;13:01:24;30,00;"GASOLEO A";19,493;3;2026086416
2026-06-03;13:02:22;10,00;"GASOLEO A";6,498;4;2026086418
2026-06-03;13:06:06;50,00;"SIN PLOMO 95";37,736;4;2026086419
2026-06-03;13:09:16;20,00;"GASOLEO A";12,995;1;2026086420
2026-06-03;13:10:23;52,25;"GASOLEO A";33,951;2;2026086421
2026-06-03;13:12:36;15,00;"GASOLEO A";9,747;1;2026086422
2026-06-03;13:13:02;20,00;"SIN PLOMO 95";15,094;3;2026086423
2026-06-03;13:13:40;55,00;"GASOLEO A";35,737;4;2026086424
2026-06-03;13:14:05;50,00;"GASOLEO A";32,489;2;2026086425
2026-06-03;13:19:00;30,00;"GASOLEO A";19,493;3;2026086426
2026-06-03;13:19:30;20,00;"GASOLEO A";12,995;4;2026086428
2026-06-03;13:20:01;50,00;"GASOLEO A";32,489;2;2026086429
2026-06-03;13:27:00;15,00;"GASOLEO A";9,747;4;2026086430
2026-06-03;13:29:24;30,00;"GASOLEO A";19,493;2;2026086431
2026-06-03;13:29:54;33,19;"SIN PLOMO 95";25,049;1;2026086432
2026-06-03;13:31:13;30,00;"SIN PLOMO 95";22,642;3;2026086433
2026-06-03;13:35:13;50,00;"GASOLEO A";32,489;4;2026006471
2026-06-03;13:37:16;150,00;"GASOLEO A";97,466;2;2026006472
2026-06-03;13:38:02;10,00;"SIN PLOMO 95";7,547;1;2026086435
2026-06-03;13:40:36;60,00;"GASOLEO A";38,986;1;2026086437
2026-06-03;13:40:58;10,00;"SIN PLOMO 95";7,547;4;2026086438
2026-06-03;13:42:23;20,00;"GASOLEO A";12,995;1;2026086439
2026-06-03;13:45:05;15,00;"GASOLEO A";9,747;4;2026086441
2026-06-03;13:45:25;20,00;"GASOLEO A";12,995;3;2026086442
2026-06-03;13:45:32;20,00;"GASOLEO A";12,995;1;2026086443
2026-06-03;13:48:17;20,00;"SIN PLOMO 95";15,094;2;2026086444
2026-06-03;13:50:11;-20,00;"SIN PLOMO 95";-15,094;2;2026086446
2026-06-03;13:50:23;20,00;"GASOLEO A";12,995;2;2026086447
2026-06-03;13:51:08;98,88;"GASOLEO A";64,250;4;2026086448
