Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-05-11;16:14:27;296,34;"SIN PLOMO 95";220,000;1;2026074117
2026-05-11;16:14:34;30,00;"GASOLEO A";18,999;4;2026074118
2026-05-11;16:17:04;30,00;"SIN PLOMO 95";22,272;1;2026074119
2026-05-11;16:19:21;30,00;"GASOLEO A";18,999;2;2026074120
2026-05-11;16:20:39;15,00;"GASOLEO A";9,500;4;2026074121
2026-05-11;16:23:14;5,00;"GASOLEO A";3,167;4;2026074122
2026-05-11;16:23:25;20,00;"GASOLEO A";12,666;1;2026074123
2026-05-11;16:24:20;50,00;"SIN PLOMO 95";37,120;3;2026074124
2026-05-11;16:26:04;20,00;"GASOLEO A";12,666;2;2026074125
2026-05-11;16:26:47;20,00;"GASOLEO A";12,666;4;2026074126
2026-05-11;16:30:01;20,00;"GASOLEO A";12,666;4;2026074127
2026-05-11;16:36:29;50,00;"GASOLEO A";31,666;2;2026074128
2026-05-11;16:36:57;20,00;"GASOLEO A";12,666;4;2026074129
2026-05-11;16:37:54;50,00;"GASOLEO A";31,666;3;2026074130
2026-05-11;16:39:14;296,34;"SIN PLOMO 95";220,000;1;2026074131
2026-05-11;16:39:37;12,00;"GASOLEO A";7,600;1;2026074132
2026-05-11;16:41:52;20,00;"GASOLEO A";12,666;2;2026074133
2026-05-11;16:51:36;6,00;"SIN PLOMO 95";4,454;2;2026005494
2026-05-11;16:52:17;30,00;"GASOLEO A";18,999;4;2026074134
2026-05-11;16:57:04;20,00;"GASOLEO A";12,666;4;2026074135
2026-05-11;17:02:06;20,00;"GASOLEO A";12,666;2;2026074136
2026-05-11;17:02:30;50,00;"GASOLEO A";31,666;4;2026074137
2026-05-11;17:05:28;6,74;"SIN PLOMO 95";5,000;1;2026074138
2026-05-11;17:07:09;10,00;"GASOLEO A";6,333;1;2026074139
2026-05-11;17:07:20;20,00;"GASOLEO A";12,666;2;2026074140
2026-05-11;17:08:21;20,00;"GASOLEO A";12,666;4;2026074141
2026-05-11;17:13:46;100,00;"GASOLEO A";63,331;1;2026005495
2026-05-11;17:14:25;50,00;"GASOLEO A";31,666;4;2026074142
2026-05-11;17:15:03;50,00;"GASOLEO A";31,666;2;2026074143
2026-05-11;17:15:23;30,00;"SIN PLOMO 95";22,272;3;2026074144
2026-05-11;17:17:07;30,00;"GASOLEO A";18,999;3;2026074145
2026-05-11;17:17:49;20,00;"SIN PLOMO 95";14,848;4;2026074146
2026-05-11;17:21:20;30,00;"GASOLEO A";18,999;2;2026074148
2026-05-11;17:21:44;20,00;"SIN PLOMO 95";14,848;3;2026074149
2026-05-11;17:25:10;30,00;"SIN PLOMO 95";22,272;4;2026074150
2026-05-11;17:25:16;20,00;"GASOLEO A";12,666;1;2026074151
2026-05-11;17:28:32;5,00;"SIN PLOMO 95";3,712;3;2026074152
2026-05-11;17:28:43;10,00;"GASOLEO A";6,333;4;2026074153
